type,latitude,longitude,alt
T,48.418505,-4.47252166667,144.5
T,48.418495,-4.47252,144.6
T,48.4184866667,-4.472515,144.6
T,48.4184783333,-4.47250666667,144.6
T,48.4184716667,-4.47249666667,144.6
T,48.4184683333,-4.472485,144.6
T,48.418465,-4.47247166667,144.6
T,48.4184633333,-4.47246,145.1
T,48.418465,-4.47245,145.6
T,48.4184683333,-4.47244,145.9
T,48.41847,-4.47243166667,146.0
T,48.418475,-4.47242,145.9
T,48.4184783333,-4.47241,145.9
T,48.4184833333,-4.4724,145.8
T,48.4184883333,-4.47239,145.7
T,48.4184933333,-4.47238,145.7
T,48.4184983333,-4.47237,145.6
T,48.4185016667,-4.47236,145.6
T,48.4185066667,-4.47234833333,145.6
T,48.4185083333,-4.472335,145.5
T,48.4185066667,-4.47232166667,145.4
T,48.4185016667,-4.47231333333,145.3
T,48.418495,-4.47230666667,145.2
T,48.4184866667,-4.47230333333,145.3
T,48.4184783333,-4.47230333333,145.2
T,48.4184716667,-4.47230666667,145.1
T,48.4184666667,-4.472315,145.0
T,48.4184633333,-4.472325,145.0
T,48.4184616667,-4.472335,144.9
T,48.4184616667,-4.47234333333,144.7
T,48.418465,-4.47235166667,144.6
T,48.41847,-4.47235833333,144.6
T,48.4184766667,-4.47236333333,144.5
T,48.4184833333,-4.47236833333,144.3
T,48.4184916667,-4.47237,144.1
T,48.4184983333,-4.47237,144.0
T,48.4185066667,-4.47236833333,143.9
T,48.4185133333,-4.47236166667,143.8
T,48.41852,-4.47235166667,143.8
T,48.4185233333,-4.47234,143.9
T,48.418525,-4.47232666667,143.9
T,48.418525,-4.472315,144.0
T,48.41852,-4.47230666667,144.1
T,48.4185133333,-4.4723,144.2
T,48.418505,-4.47229666667,144.3
T,48.4184966667,-4.47229666667,144.4
T,48.4184883333,-4.47229833333,144.4
T,48.4184816667,-4.472305,144.5
T,48.4184766667,-4.47231333333,144.6
T,48.4184733333,-4.47231833333,144.6
