type,latitude,longitude,alt
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,nan,nan,nan
T,48.4123333333,-4.47089,1297.4
T,48.41336,-4.47048666667,1085.8
T,48.4158683333,-4.473355,762.0
T,48.4171133333,-4.474615,540.8
T,48.417255,-4.47512166667,465.6
T,48.4172233333,-4.47541,467.9
T,48.41709,-4.47601,508.0
T,48.4170133333,-4.47625833333,528.1
T,48.4169183333,-4.47654,552.5
T,48.4168416667,-4.47676166667,572.9
T,48.416705,-4.47705833333,608.0
T,48.4166433333,-4.47722833333,623.5
T,48.4165866667,-4.47738333333,638.4
T,48.4165766667,-4.47743166667,641.7
T,48.4165583333,-4.47747833333,645.7
T,48.416535,-4.47755,652.3
T,48.41651,-4.47761666667,658.4
T,48.4164783333,-4.47769666667,666.2
T,48.416425,-4.4778,677.9
T,48.4164,-4.477885,686.0
T,48.4163733333,-4.47797,693.7
T,48.4163466667,-4.478055,701.8
T,48.41632,-4.478135,709.2
T,48.4162716667,-4.47823333333,719.5
T,48.4162316667,-4.47832333333,728.2
T,48.41619,-4.478445,738.5
T,48.41615,-4.47856,748.5
T,48.4161066667,-4.47866666667,758.2
T,48.41607,-4.47873,765.5
T,48.4160383333,-4.47879833333,772.6
T,48.416005,-4.47886666667,779.5
T,48.4159583333,-4.47895833333,790.1
T,48.4159683333,-4.47895666667,787.5
T,48.4159816667,-4.47893333333,782.7
T,48.41601,-4.47889,776.0
T,48.4160433333,-4.47882833333,767.8
T,48.4160633333,-4.47879,762.3
T,48.4160433333,-4.47882166667,766.1
T,48.4160266667,-4.47885333333,769.7
T,48.415995,-4.47892,775.4
T,48.41597,-4.478985,780.9
T,48.415945,-4.47904833333,786.1
T,48.4159183333,-4.47911,791.3
T,48.4158866667,-4.47917166667,797.3
T,48.41586,-4.47923166667,802.9
T,48.4158333333,-4.47928833333,808.5
T,48.4158066667,-4.47934666667,814.1
T,48.41578,-4.47940333333,819.5
T,48.415755,-4.47946,824.9
T,48.4157283333,-4.47951333333,829.8
T,48.415705,-4.47956333333,834.6
T,48.41568,-4.47961666667,839.1
T,48.4156533333,-4.47967166667,843.4
T,48.41563,-4.47972666667,847.4
T,48.415605,-4.47978,851.4
