type,latitude,longitude,alt
T,48.4191366667,-4.47425166667,141.1
T,48.4191316667,-4.47426666667,141.2
T,48.4191283333,-4.47428166667,141.1
T,48.4191233333,-4.47429666667,141.1
T,48.4191183333,-4.47431,141.1
T,48.4191133333,-4.47432333333,141.0
T,48.4191066667,-4.47433833333,141.0
T,48.4191,-4.47435,140.9
T,48.4190933333,-4.47436166667,140.8
T,48.4190866667,-4.47437333333,140.7
T,48.4190783333,-4.47438666667,140.7
T,48.4190716667,-4.47439833333,140.7
T,48.419065,-4.47441166667,140.7
T,48.4190566667,-4.47442333333,140.7
T,48.41905,-4.47443333333,140.7
T,48.4190416667,-4.474445,140.6
T,48.4190333333,-4.47445666667,140.7
T,48.419025,-4.47446833333,140.8
T,48.4190166667,-4.47447666667,140.9
T,48.4190083333,-4.47448666667,140.9
T,48.4189983333,-4.47449666667,141.1
T,48.41899,-4.474505,141.1
T,48.41898,-4.47451333333,141.1
T,48.4189716667,-4.47452,141.1
T,48.4189616667,-4.47452666667,141.2
T,48.4189516667,-4.47453333333,141.3
T,48.41894,-4.47454,141.3
T,48.41893,-4.47454666667,141.4
T,48.41892,-4.47455166667,141.5
T,48.41891,-4.47455666667,141.6
T,48.4189,-4.47456166667,141.6
T,48.41889,-4.474565,141.6
T,48.41888,-4.47456666667,141.5
T,48.41887,-4.47456833333,141.5
T,48.41886,-4.47456833333,141.5
T,48.41885,-4.47457,141.5
T,48.41884,-4.47457166667,141.5
T,48.41883,-4.47457166667,141.5
T,48.41882,-4.47457,141.5
T,48.41881,-4.47457,141.4
T,48.4188,-4.47456833333,141.5
T,48.41879,-4.47456833333,141.6
T,48.41878,-4.47456666667,141.6
T,48.41877,-4.47456333333,141.6
T,48.4187616667,-4.47456166667,141.7
T,48.4187516667,-4.47455833333,141.7
T,48.4187416667,-4.474555,141.7
T,48.4187316667,-4.47455333333,141.7
T,48.4187216667,-4.47455166667,141.7
T,48.4187116667,-4.47455166667,141.8
T,48.4187016667,-4.47455166667,141.8
T,48.4186933333,-4.47455,141.9
T,48.4186833333,-4.47454833333,142.0
T,48.4186733333,-4.47454666667,142.0
T,48.418665,-4.474545,142.0
T,48.418655,-4.47454166667,141.9
T,48.4186466667,-4.47454,142.0
T,48.4186366667,-4.47453666667,142.0
T,48.418625,-4.47453333333,141.9
T,48.418615,-4.47453166667,141.9
T,48.418605,-4.47453,142.0
T,48.418595,-4.47452833333,142.0
T,48.418585,-4.47452666667,142.0
T,48.418575,-4.47452333333,141.9
T,48.4185666667,-4.47452166667,141.9
T,48.4185566667,-4.47452,141.8
T,48.4185466667,-4.47451833333,141.8
T,48.4185366667,-4.47451666667,141.7
T,48.4185266667,-4.474515,141.7
T,48.418515,-4.47451166667,141.6
T,48.418505,-4.47451,141.5
T,48.4184933333,-4.47451166667,142.3
T,48.41848,-4.47451,142.7
T,48.41847,-4.47450833333,142.8
T,48.41846,-4.474505,142.9
T,48.4184483333,-4.47450333333,142.8
T,48.4184383333,-4.4745,142.9
T,48.4184266667,-4.47449833333,142.9
T,48.4184166667,-4.47449666667,142.9
T,48.4184066667,-4.47449333333,142.9
T,48.4183966667,-4.47449166667,142.9
T,48.418385,-4.47448833333,142.8
T,48.418375,-4.47448666667,142.7
T,48.418365,-4.474485,142.7
T,48.418355,-4.47448333333,142.6
T,48.418345,-4.47448,142.5
T,48.418335,-4.47447666667,142.4
T,48.4183233333,-4.47447333333,142.3
T,48.4183133333,-4.47447,142.2
T,48.4183033333,-4.47446833333,142.1
T,48.4182933333,-4.474465,142.0
T,48.4182833333,-4.47446333333,142.0
T,48.4182733333,-4.47446,141.9
T,48.4182616667,-4.47445666667,141.7
T,48.4182516667,-4.474455,141.7
T,48.4182416667,-4.47445166667,141.6
T,48.4182316667,-4.47445,141.5
T,48.41822,-4.47444666667,141.5
T,48.41821,-4.474445,141.5
T,48.4182,-4.47444333333,141.6
T,48.41819,-4.47444,141.5
T,48.41818,-4.47443833333,141.5
T,48.4181716667,-4.47443666667,141.5
T,48.4181616667,-4.474435,141.4
T,48.4181516667,-4.47443333333,141.4
T,48.4181416667,-4.47443166667,141.5
T,48.4181316667,-4.47443,141.4
T,48.4181216667,-4.47442833333,141.3
T,48.4181116667,-4.47442666667,141.3
T,48.4181016667,-4.47442333333,141.3
T,48.4180916667,-4.47442166667,141.3
T,48.4180816667,-4.47442,141.3
T,48.4180733333,-4.47441833333,141.2
T,48.4180633333,-4.47441666667,141.2
T,48.4180516667,-4.47441333333,141.2
T,48.4180416667,-4.47441333333,141.2
T,48.4180316667,-4.47441166667,141.3
T,48.4180216667,-4.47441,141.3
T,48.4180116667,-4.47440833333,141.3
T,48.4180016667,-4.47440666667,141.3
T,48.4179916667,-4.474405,141.3
T,48.41798,-4.474405,141.3
T,48.4179716667,-4.47440333333,141.4
T,48.4179616667,-4.47440333333,141.4
T,48.4179516667,-4.47440166667,141.3
T,48.4179416667,-4.4744,141.4
T,48.4179333333,-4.4744,141.3
T,48.4179233333,-4.47439833333,141.4
T,48.4179133333,-4.47439666667,141.4
T,48.4179033333,-4.474395,141.5
T,48.4178933333,-4.47439333333,141.5
T,48.4178833333,-4.47439166667,141.5
T,48.4178733333,-4.47439,141.5
T,48.4178633333,-4.47438833333,141.4
T,48.417855,-4.47438666667,141.3
T,48.417845,-4.47438333333,141.3
T,48.417835,-4.47438166667,141.4
T,48.417825,-4.47438166667,141.4
T,48.4178166667,-4.47438333333,141.5
T,48.4178083333,-4.47438666667,141.5
T,48.4178,-4.47439333333,141.6
T,48.4177916667,-4.47439833333,141.8
T,48.4177833333,-4.4744,141.8
T,48.4177766667,-4.474405,141.9
T,48.41777,-4.47440833333,141.9
T,48.4177633333,-4.47441166667,141.8
T,48.4177583333,-4.47441333333,141.6
T,48.4177566667,-4.474415,141.7
T,48.4177566667,-4.474415,141.8
T,48.4177566667,-4.474415,141.8
T,48.4177566667,-4.474415,141.8
T,48.4177566667,-4.474415,141.8
T,48.4177566667,-4.474415,141.8
T,48.4177566667,-4.474415,141.8
T,48.4177566667,-4.474415,141.8
T,48.4177566667,-4.474415,141.8
T,48.4177566667,-4.474415,141.8
T,48.4177566667,-4.474415,141.8
T,48.417755,-4.47441333333,141.8
T,48.4177533333,-4.47441333333,141.8
T,48.4177533333,-4.47441333333,141.7
T,48.4177533333,-4.47441333333,141.7
T,48.4177533333,-4.47441333333,141.7
T,48.4177533333,-4.47441333333,141.7
T,48.4177533333,-4.47441333333,141.7
T,48.4177533333,-4.47441333333,141.7
T,48.4177533333,-4.47441333333,141.7
T,48.4177533333,-4.47441333333,141.7
T,48.4177533333,-4.47441333333,141.7
T,48.4177533333,-4.47441333333,141.7
T,48.4177533333,-4.47441333333,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.474415,141.7
T,48.4177533333,-4.47441333333,141.7
T,48.4177516667,-4.47440833333,141.8
T,48.4177516667,-4.474405,141.8
T,48.4177583333,-4.47440166667,141.9
T,48.41777,-4.47440333333,142.1
T,48.41778,-4.47440166667,142.3
T,48.4177883333,-4.474395,142.4
T,48.4177966667,-4.47438833333,142.6
T,48.417805,-4.47438333333,142.6
T,48.4178116667,-4.47437833333,142.6
T,48.41782,-4.47437166667,142.5
T,48.4178283333,-4.47436333333,142.3
T,48.417835,-4.47435833333,142.2
T,48.41784,-4.47435,142.0
T,48.4178483333,-4.47434,141.8
T,48.4178583333,-4.47433,141.9
T,48.4178666667,-4.47432166667,141.8
T,48.4178733333,-4.47431333333,141.8
T,48.41788,-4.47430666667,141.7
T,48.4178883333,-4.47429833333,141.5
T,48.417895,-4.47429166667,141.5
T,48.4179016667,-4.474285,141.4
T,48.41791,-4.47427666667,141.4
T,48.4179183333,-4.47426666667,141.3
T,48.4179266667,-4.47425833333,141.3
T,48.4179333333,-4.47424666667,141.2
T,48.4179433333,-4.47423666667,141.2
T,48.4179516667,-4.47422666667,141.5
T,48.4179616667,-4.47421666667,141.7
T,48.4179716667,-4.47420833333,141.8
T,48.41798,-4.4742,141.8
T,48.41799,-4.47418833333,141.6
T,48.4179983333,-4.47417833333,141.6
T,48.4180083333,-4.474165,141.5
T,48.4180183333,-4.474155,141.6
T,48.418025,-4.47414666667,141.6
T,48.41803,-4.47414333333,141.4
T,48.4180316667,-4.47414,141.5
T,48.418035,-4.47414166667,141.4
T,48.4180333333,-4.47414166667,141.4
T,48.418035,-4.47414166667,141.3
T,48.418035,-4.47413833333,141.2
T,48.41804,-4.47413833333,141.1
T,48.4180383333,-4.47413833333,141.1
T,48.4180366667,-4.47414,140.7
T,48.4180366667,-4.47414,140.7
T,48.4180366667,-4.47414166667,140.7
T,48.418035,-4.47414,140.7
T,48.418035,-4.47413833333,140.6
T,48.4180383333,-4.474135,140.6
T,48.4180433333,-4.47413,140.8
T,48.4180516667,-4.47412666667,141.0
T,48.4180566667,-4.47412166667,141.0
T,48.4180633333,-4.474115,141.0
T,48.41807,-4.47411,141.0
T,48.4180766667,-4.474105,141.1
T,48.4180833333,-4.4741,141.0
T,48.41809,-4.47409666667,141.2
T,48.4180966667,-4.474095,141.5
T,48.4181033333,-4.47409,141.6
T,48.4181116667,-4.47408666667,141.6
T,48.4181183333,-4.47408166667,141.7
T,48.4181233333,-4.47407666667,141.7
T,48.41813,-4.47407333333,141.8
T,48.4181383333,-4.47407,141.9
T,48.4181483333,-4.47406333333,142.0
T,48.4181566667,-4.47405833333,142.1
T,48.418165,-4.47405166667,142.1
T,48.4181733333,-4.47404666667,142.0
T,48.4181816667,-4.47404166667,142.1
T,48.4181916667,-4.47403666667,142.1
T,48.4182,-4.47403,142.2
T,48.41821,-4.47402166667,142.3
T,48.4182183333,-4.474015,142.3
T,48.4182266667,-4.47400666667,142.4
T,48.418235,-4.474,142.4
T,48.4182433333,-4.473995,142.4
T,48.4182516667,-4.47398666667,142.4
T,48.4182616667,-4.47397833333,142.6
T,48.41827,-4.47397166667,142.6
T,48.4182783333,-4.47396333333,142.6
T,48.4182883333,-4.47395333333,142.5
T,48.4182966667,-4.47394666667,142.4
T,48.418305,-4.47394,142.3
T,48.4183133333,-4.47393166667,142.3
T,48.4183216667,-4.47392333333,142.1
T,48.4183316667,-4.47391333333,142.1
T,48.41834,-4.47390333333,142.0
T,48.41835,-4.47389333333,142.2
T,48.41836,-4.47388333333,142.1
T,48.4183683333,-4.47387333333,142.0
T,48.41838,-4.473865,142.0
T,48.4183883333,-4.47385833333,142.0
T,48.4183983333,-4.47384833333,142.1
T,48.4184066667,-4.47383833333,142.1
T,48.4184166667,-4.47383,142.2
T,48.4184266667,-4.47382,142.3
T,48.418435,-4.47380833333,142.4
T,48.4184416667,-4.47379833333,142.5
T,48.41845,-4.47378833333,142.5
T,48.41846,-4.47377833333,142.7
T,48.4184683333,-4.47377,142.7
T,48.4184783333,-4.47376166667,142.8
T,48.4184883333,-4.47375166667,142.7
T,48.4184983333,-4.473745,142.8
T,48.4185083333,-4.47374,142.8
T,48.4185183333,-4.47373333333,142.7
T,48.4185266667,-4.47372833333,142.6
T,48.4185366667,-4.473725,142.6
T,48.4185483333,-4.47372333333,142.6
T,48.4185583333,-4.47372,142.6
T,48.4185683333,-4.47371833333,142.5
T,48.41858,-4.47371833333,142.6
T,48.41859,-4.47371833333,142.7
T,48.4186,-4.47371833333,142.7
T,48.4186116667,-4.47371833333,142.8
T,48.4186216667,-4.47371833333,142.8
T,48.4186316667,-4.47371833333,142.8
T,48.4186433333,-4.47371666667,142.9
T,48.418655,-4.47371666667,143.0
T,48.418665,-4.473715,143.0
T,48.418675,-4.47371333333,142.9
T,48.418685,-4.47371166667,142.8
T,48.418695,-4.47370833333,142.6
T,48.418705,-4.47370833333,142.7
T,48.4187166667,-4.47370666667,142.6
T,48.4187266667,-4.473705,142.7
T,48.4187383333,-4.473705,142.8
T,48.4187483333,-4.473705,142.8
T,48.4187583333,-4.47370333333,142.8
T,48.4187683333,-4.47370333333,142.9
T,48.4187783333,-4.47370166667,142.8
T,48.41879,-4.4737,142.7
T,48.4188,-4.47369833333,142.6
T,48.41881,-4.47369833333,142.6
T,48.41882,-4.47369666667,142.5
T,48.41883,-4.473695,142.5
T,48.41884,-4.47369333333,142.4
T,48.4188516667,-4.47369166667,142.5
T,48.418865,-4.47369,142.6
T,48.4188766667,-4.47368666667,142.7
T,48.4188866667,-4.47368333333,142.8
T,48.4188966667,-4.47368166667,143.0
T,48.4189066667,-4.47368,143.1
T,48.418915,-4.47367833333,143.0
T,48.4189233333,-4.47367666667,143.0
T,48.4189333333,-4.47367333333,143.2
T,48.4189416667,-4.47367,143.5
T,48.4189516667,-4.473665,143.5
T,48.41896,-4.47366166667,143.6
T,48.41897,-4.47366,143.8
T,48.41898,-4.47366,143.9
T,48.41899,-4.47366,143.8
T,48.419,-4.47365833333,143.8
T,48.41901,-4.47365666667,143.7
T,48.4190216667,-4.47365666667,143.7
T,48.4190316667,-4.47365666667,143.6
T,48.4190416667,-4.47365666667,143.7
T,48.4190516667,-4.47365833333,144.0
T,48.4190633333,-4.47366,144.1
T,48.4190733333,-4.47366166667,144.1
T,48.41908,-4.47366166667,143.9
T,48.4190916667,-4.47366666667,144.2
T,48.4191,-4.47366833333,144.0
T,48.419105,-4.47367,144.0
T,48.4191066667,-4.47367,144.2
T,48.4191066667,-4.47367,144.2
T,48.4191066667,-4.47367166667,144.3
T,48.4191066667,-4.47367166667,144.4
T,48.4191066667,-4.47367166667,144.4
T,48.4191066667,-4.47367166667,144.4
T,48.4191066667,-4.47367166667,144.4
T,48.4191083333,-4.47367166667,144.5
T,48.4191083333,-4.47367166667,144.5
T,48.4191083333,-4.47367166667,144.5
T,48.41911,-4.47367,144.8
T,48.4191116667,-4.47367,144.8
T,48.41911,-4.47367,144.8
T,48.41911,-4.47367,144.8
T,48.41911,-4.47367,144.9
T,48.41911,-4.47367,144.9
T,48.41911,-4.47367,144.9
T,48.41911,-4.47367,144.9
T,48.41911,-4.47367,144.9
T,48.41911,-4.47367,144.9
T,48.41911,-4.47367,144.9
T,48.41911,-4.47367,144.9
T,48.41911,-4.47367,144.9
T,48.41911,-4.47367,144.9
T,48.41911,-4.47366833333,144.9
T,48.4191083333,-4.47366833333,144.7
T,48.41911,-4.47366833333,144.8
T,48.41911,-4.47366666667,145.0
T,48.41911,-4.47366666667,144.9
T,48.41911,-4.47366666667,144.9
T,48.41911,-4.47366666667,144.9
T,48.41911,-4.47366666667,144.9
T,48.41911,-4.47366666667,144.9
T,48.41911,-4.47366666667,144.9
T,48.4191116667,-4.473665,144.9
T,48.4191116667,-4.473665,145.0
T,48.4191116667,-4.473665,145.0
T,48.419105,-4.47366166667,144.6
T,48.4190983333,-4.47365666667,144.4
T,48.41909,-4.47365166667,144.3
T,48.4190816667,-4.473645,144.3
T,48.4190733333,-4.47363833333,144.2
T,48.4190616667,-4.47363,144.0
T,48.4190533333,-4.47362333333,143.9
T,48.4190483333,-4.47361666667,144.0
T,48.41904,-4.47361,144.2
T,48.4190283333,-4.4736,144.4
T,48.4190183333,-4.47359333333,144.3
T,48.4190116667,-4.47358833333,144.3
T,48.4190033333,-4.47358166667,144.1
T,48.4189933333,-4.47357333333,144.6
T,48.4189816667,-4.47356666667,144.3
T,48.4189716667,-4.47356,144.6
T,48.4189616667,-4.47355166667,144.7
T,48.4189516667,-4.47354166667,144.8
T,48.4189433333,-4.47353333333,145.1
T,48.4189316667,-4.473525,145.4
T,48.4189216667,-4.47351833333,145.8
T,48.4189116667,-4.47351333333,145.6
T,48.4189016667,-4.47351,145.5
T,48.4188933333,-4.473505,145.4
T,48.4188833333,-4.4735,145.3
